rank,sample_id,user_id,item_id,valence_score,arousal_score,preference_label,rating,item_popularity_score,item_category,eeg_preference_score,predicted_rating,ranking_score,item_name
1,42,1,43,5.8525,6.5911,1,3,0.8862,music,0.9872912764549255,3.7949650287628174,0.9569638935184478,Content_043
2,86,1,87,5.9548,4.9014,1,4,0.688,short_video,0.9988729357719421,4.107597351074219,0.9056110550403593,Content_087
3,80,1,81,6.4911,6.2305,1,5,0.6936,game,0.9924753308296204,3.872741222381592,0.9028127315807342,Content_081
4,6,1,7,6.8684,5.9471,1,5,0.682,short_video,0.996822714805603,3.978337526321411,0.9023759003639221,Content_007
5,13,1,14,5.6209,6.4813,1,4,0.6098,music,0.993301510810852,3.8970417976379395,0.8782510575675964,Content_014
6,79,1,80,7.182,4.1909,1,4,0.4584,short_video,0.9973451495170593,4.015117168426514,0.8356616046619415,Content_080
7,64,1,65,5.5303,4.6143,1,4,0.4796,short_video,0.9785872101783752,3.7335100173950195,0.8288910471248626,Content_065
8,36,1,37,6.7092,3.9121,1,4,0.4527,game,0.9886776804924011,3.8201863765716553,0.8278843763446807,Content_037
9,1,1,2,6.7586,6.7315,1,4,0.3595,music,0.9929009675979614,3.886173963546753,0.8028806773185729,Content_002
10,41,1,42,5.7609,7.022,0,3,0.668,music,0.8567643761634827,3.475003480911255,0.8001350633144378,Content_042
